Itens=010000 	Metodo=Crescente 	0.001000s 	1.000000ms
Itens=010000 	Metodo=Crescente 	0.000000s 	0.000000ms
Itens=010000 	Metodo=Crescente 	0.002000s 	2.000000ms
Itens=010000 	Metodo=Decrescente 	0.001000s 	1.000000ms
Itens=010000 	Metodo=Decrescente 	0.001000s 	1.000000ms
Itens=010000 	Metodo=Decrescente 	0.000000s 	0.000000ms
Itens=010000 	Metodo=Aleatorio 	0.000000s 	0.000000ms
Itens=010000 	Metodo=Aleatorio 	0.002000s 	2.000000ms
Itens=010000 	Metodo=Aleatorio 	0.001000s 	1.000000ms

Itens=050000 	Metodo=Crescente 	0.008000s 	8.000000ms
Itens=050000 	Metodo=Crescente 	0.007000s 	7.000000ms
Itens=050000 	Metodo=Crescente 	0.008000s 	8.000000ms
Itens=050000 	Metodo=Decrescente 	0.007000s 	7.000000ms
Itens=050000 	Metodo=Decrescente 	0.007000s 	7.000000ms
Itens=050000 	Metodo=Decrescente 	0.007000s 	7.000000ms
Itens=050000 	Metodo=Aleatorio 	0.008000s 	8.000000ms
Itens=050000 	Metodo=Aleatorio 	0.007000s 	7.000000ms
Itens=050000 	Metodo=Aleatorio 	0.007000s 	7.000000ms

Itens=100000 	Metodo=Crescente 	0.016000s 	16.000000ms
Itens=100000 	Metodo=Crescente 	0.020000s 	20.000000ms
Itens=100000 	Metodo=Crescente 	0.018000s 	18.000000ms
Itens=100000 	Metodo=Decrescente 	0.019000s 	19.000000ms
Itens=100000 	Metodo=Decrescente 	0.019000s 	19.000000ms
Itens=100000 	Metodo=Decrescente 	0.019000s 	19.000000ms
Itens=100000 	Metodo=Aleatorio 	0.017000s 	17.000000ms
Itens=100000 	Metodo=Aleatorio 	0.018000s 	18.000000ms
Itens=100000 	Metodo=Aleatorio 	0.018000s 	18.000000ms
