Itens=010000 	Metodo=Crescente 	0.002000s 	2.000000ms
Itens=010000 	Metodo=Crescente 	0.003000s 	3.000000ms
Itens=010000 	Metodo=Crescente 	0.003000s 	3.000000ms
Itens=010000 	Metodo=Decrescente 	0.006000s 	6.000000ms
Itens=010000 	Metodo=Decrescente 	0.002000s 	2.000000ms
Itens=010000 	Metodo=Decrescente 	0.005000s 	5.000000ms
Itens=010000 	Metodo=Aleatorio 	0.005000s 	5.000000ms
Itens=010000 	Metodo=Aleatorio 	0.004000s 	4.000000ms
Itens=010000 	Metodo=Aleatorio 	0.005000s 	5.000000ms

Itens=050000 	Metodo=Crescente 	0.014000s 	14.000000ms
Itens=050000 	Metodo=Crescente 	0.017000s 	17.000000ms
Itens=050000 	Metodo=Crescente 	0.019000s 	19.000000ms
Itens=050000 	Metodo=Decrescente 	0.013000s 	13.000000ms
Itens=050000 	Metodo=Decrescente 	0.015000s 	15.000000ms
Itens=050000 	Metodo=Decrescente 	0.015000s 	15.000000ms
Itens=050000 	Metodo=Aleatorio 	0.018000s 	18.000000ms
Itens=050000 	Metodo=Aleatorio 	0.022000s 	22.000000ms
Itens=050000 	Metodo=Aleatorio 	0.017000s 	17.000000ms

Itens=100000 	Metodo=Crescente 	0.028000s 	28.000000ms
Itens=100000 	Metodo=Crescente 	0.032000s 	32.000000ms
Itens=100000 	Metodo=Crescente 	0.033000s 	33.000000ms
Itens=100000 	Metodo=Decrescente 	0.030000s 	30.000000ms
Itens=100000 	Metodo=Decrescente 	0.043000s 	43.000000ms
Itens=100000 	Metodo=Decrescente 	0.030000s 	30.000000ms
Itens=100000 	Metodo=Aleatorio 	0.033000s 	33.000000ms
Itens=100000 	Metodo=Aleatorio 	0.040000s 	40.000000ms
Itens=100000 	Metodo=Aleatorio 	0.042000s 	42.000000ms
